2212.08221v1,SE Factual Knowledge in Frozen Giant Code Model: A Study on FQN and its Retrieval,http://arxiv.org/abs/2212.08221v1,"Pre-trained giant code models (PCMs) start coming into the developers' dailypractices. Understanding what types of and how much software knowledge ispacked into PCMs is the foundation for incorporating PCMs into softwareengineering (SE) tasks and fully releasing their potential. In this work, weconduct the first systematic study on the SE factual knowledge in thestate-of-the-art PCM CoPilot, focusing on APIs' Fully Qualified Names (FQNs),the fundamental knowledge for effective code analysis, search and reuse. Drivenby FQNs' data distribution properties, we design a novel lightweight in-contextlearning on Copilot for FQN inference, which does not require code compilationas traditional methods or gradient update by recent FQN prompt-tuning. Wesystematically experiment with five in-context-learning design factors toidentify the best in-context learning configuration that developers can adoptin practice. With this best configuration, we investigate the effects of amountof example prompts and FQN data properties on Copilot's FQN inferencecapability. Our results confirm that Copilot stores diverse FQN knowledge andcan be applied for the FQN inference due to its high inference accuracy andnon-reliance on code analysis. Based on our experience interacting withCopilot, we discuss various opportunities to improve human-CoPilot interactionin the FQN inference task.",Qing Huang,2022/12/16,2022/12/16
2401.12412v1,Program Decomposition and Translation with Static Analysis,http://arxiv.org/abs/2401.12412v1,"The rising popularity of Large Language Models (LLMs) has motivated exploringtheir use in code-related tasks. Code LLMs with more than millions ofparameters are trained on a massive amount of code in different ProgrammingLanguages (PLs). Such models are used for automating various SoftwareEngineering (SE) tasks using prompt engineering. However, given the very largesize of industry-scale project files, a major issue of these LLMs is theirlimited context window size, motivating the question of ""Can these LLMs processvery large files and can we effectively perform prompt engineering?"". Codetranslation aims to convert source code from one PL to another. In this work,we assess the effect of method-level program decomposition on context window ofLLMs and investigate how this approach can enable translation of very largefiles which originally could not be done due to out-of-context issue. Ourobservations from 20 well-known java projects and approximately 60K methodssuggest that method-level program decomposition significantly improves thelimited context window problem of LLMs by 99.5%. Furthermore, our empiricalanalysis indicate that with method-level decomposition, each input fragment onaverage only consumes 5% of the context window, leaving more context space forprompt engineering and the output. Finally, we investigate the effectiveness ofa Call Graph (CG) approach for translating very large files when doingmethod-level program decomposition.",Ali Reza Ibrahimzada,2024/1/22,2024/1/22
2303.13534v2,Prompting AI Art: An Investigation into the Creative Skill of Prompt Engineering,http://arxiv.org/abs/2303.13534v2,"We are witnessing a novel era of creativity where anyone can create digitalcontent via prompt-based learning (known as prompt engineering). This paperdelves into prompt engineering as a novel creative skill for creating AI artwith text-to-image generation. In a pilot study, we find that many crowdsourcedparticipants have knowledge about art which could be used for writing effectiveprompts. In three subsequent studies, we explore whether crowdsourcedparticipants can put this knowledge into practice. We examine if participantscan 1) discern prompt quality, 2) write prompts, and 3) refine prompts. We findthat participants could evaluate prompt quality and crafted descriptiveprompts, but they lacked style-specific vocabulary necessary for effectiveprompting. This is in line with our hypothesis that prompt engineering is a newtype of skill that is non-intuitive and must first be acquired (e.g., throughmeans of practice and learning) before it can be used. Our studies deepen ourunderstanding of prompt engineering and chart future research directions. Weoffer nine guidelines for conducting research on text-to-image generation andprompt engineering with paid crowds. We conclude by envisioning four potentialfutures for prompt engineering.",Jonas Oppenlaender,2023/3/13,2023/12/3
2308.12415v1,Benchmarking Causal Study to Interpret Large Language Models for Source Code,http://arxiv.org/abs/2308.12415v1,"One of the most common solutions adopted by software researchers to addresscode generation is by training Large Language Models (LLMs) on massive amountsof source code. Although a number of studies have shown that LLMs have beeneffectively evaluated on popular accuracy metrics (e.g., BLEU, CodeBleu),previous research has largely overlooked the role of Causal Inference as afundamental component of the interpretability of LLMs' performance. Existingbenchmarks and datasets are meant to highlight the difference between theexpected and the generated outcome, but do not take into account confoundingvariables (e.g., lines of code, prompt size) that equally influence theaccuracy metrics. The fact remains that, when dealing with generative softwaretasks by LLMs, no benchmark is available to tell researchers how to quantifyneither the causal effect of SE-based treatments nor the correlation ofconfounders to the model's performance. In an effort to bring statistical rigorto the evaluation of LLMs, this paper introduces a benchmarking strategy namedGaleras comprised of curated testbeds for three SE tasks (i.e., codecompletion, code summarization, and commit generation) to help aid theinterpretation of LLMs' performance. We illustrate the insights of ourbenchmarking strategy by conducting a case study on the performance of ChatGPTunder distinct prompt engineering methods. The results of the case studydemonstrate the positive causal influence of prompt semantics on ChatGPT'sgenerative performance by an average treatment effect of $\approx 3\%$.Moreover, it was found that confounders such as prompt size are highlycorrelated with accuracy metrics ($\approx 0.412\%$). The end result of ourcase study is to showcase causal inference evaluations, in practice, to reduceconfounding bias. By reducing the bias, we offer an interpretable solution forthe accuracy metric under analysis.",Daniel Rodriguez-Cardenas,2023/8/23,2023/8/23
2310.08879v1,A Critical Review of Large Language Model on Software Engineering: An Example from ChatGPT and Automated Program Repair,http://arxiv.org/abs/2310.08879v1,"Large Language Models (LLMs) have been gaining increasing attention anddemonstrated promising performance across a variety of Software Engineering(SE) tasks, such as Automated Program Repair (APR), code summarization, andcode completion. For example, ChatGPT, the latest black-box LLM, has beeninvestigated by numerous recent research studies and has shown impressiveperformance in various tasks. However, there exists a potential risk of dataleakage since these LLMs are usually close-sourced with unknown specifictraining details, e.g., pre-training datasets.  In this paper, we seek to review the bug-fixing capabilities of ChatGPT on aclean APR benchmark with different research objectives. We first introduce{\benchmark}, a new benchmark with buggy and the corresponding fixed programsfrom competitive programming problems starting from 2023, after the trainingcutoff point of ChatGPT. The results on {\benchmark} show that ChatGPT is ableto fix 109 out of 151 buggy programs using the basic prompt within 35independent rounds, outperforming state-of-the-art LLMs CodeT5 and PLBART by27.5\% and 62.4\% prediction accuracy. We also investigate the impact of threetypes of prompts, i.e., problem description, error feedback, and buglocalization, leading to additional 34 fixed bugs. Besides, we provideadditional discussion from the interactive nature of ChatGPT to illustrate thecapacity of a dialog-based repair workflow with 9 additional fixed bugs.Inspired by the findings, we further pinpoint various challenges andopportunities for advanced SE study equipped with such LLMs (e.g.,~ChatGPT) inthe near future. More importantly, our work calls for more research on thereevaluation of the achievements obtained by existing black-box LLMs acrossvarious SE tasks, not limited to ChatGPT on APR.",Quanjun Zhang,2023/10/13,2023/10/13
2311.05661v1,Prompt Engineering a Prompt Engineer,http://arxiv.org/abs/2311.05661v1,"Prompt engineering is a challenging yet crucial task for optimizing theperformance of large language models (LLMs). It requires complex reasoning toexamine the model's errors, hypothesize what is missing or misleading in thecurrent prompt, and communicate the task with clarity. While recent worksindicate that LLMs can be meta-prompted to perform automatic promptengineering, their potentials may not be fully untapped due to the lack ofsufficient guidance to elicit complex reasoning capabilities in LLMs in themeta-prompt. In this work, we investigate the problem of ""prompt engineering aprompt engineer"" -- constructing a meta-prompt that more effectively guidesLLMs to perform automatic prompt engineering. We introduce and analyze keycomponents, such as a step-by-step reasoning template and contextspecification, which lead to improved performance. In addition, inspired bycommon optimization concepts such as batch size, step size and momentum, weintroduce their verbalized counterparts to the meta-prompt and investigatetheir effects. Our final method, named PE2, finds a prompt that outperforms""let's think step by step"" by 6.3% on the MultiArith dataset and 3.1% on theGSM8K dataset. To demonstrate its versatility, we apply PE2 to the InstructionInduction benchmark, a suite of counterfactual tasks, and a lengthy, real-worldindustrial prompt. In these settings, PE2 achieves strong performance andoutperforms prior automatic prompt engineering baselines. Further, we show thatPE2 makes meaningful and targeted prompt edits, amends erroneous or incompleteprompts, and presents non-trivial counterfactual reasoning abilities.",Qinyuan Ye,2023/11/9,2023/11/9
2304.11060v2,SkillGPT: a RESTful API service for skill extraction and standardization using a Large Language Model,http://arxiv.org/abs/2304.11060v2,"We present SkillGPT, a tool for skill extraction and standardization (SES)from free-style job descriptions and user profiles with an open-source LargeLanguage Model (LLM) as backbone. Most previous methods for similar taskseither need supervision or rely on heavy data-preprocessing and featureengineering. Directly prompting the latest conversational LLM for standardskills, however, is slow, costly and inaccurate. In contrast, SkillGPT utilizesa LLM to perform its tasks in steps via summarization and vector similaritysearch, to balance speed with precision. The backbone LLM of SkillGPT is basedon Llama, free for academic use and thus useful for exploratory research andprototype development. Hence, our cost-free SkillGPT gives users theconvenience of conversational SES, efficiently and reliably.",Nan Li,2023/4/17,2023/10/18
2311.09773v1,To be or not to be? an exploration of continuously controllable prompt engineering,http://arxiv.org/abs/2311.09773v1,"As the use of large language models becomes more widespread, techniques likeparameter-efficient fine-tuning and other methods for controlled generation aregaining traction for customizing models and managing their outputs. However,the challenge of precisely controlling how prompts influence these models is anarea ripe for further investigation. In response, we introduce ControlPE(Continuously Controllable Prompt Engineering). ControlPE enables fineradjustments to prompt effects, complementing existing prompt engineering, andeffectively controls continuous targets. This approach harnesses the power ofLoRA (Low-Rank Adaptation) to create an effect akin to prompt weighting,enabling fine-tuned adjustments to the impact of prompts. Our methodologyinvolves generating specialized datasets for prompt distillation, incorporatingthese prompts into the LoRA model, and carefully adjusting LoRA merging weightto regulate the influence of prompts. This provides a dynamic and adaptabletool for prompt control. Through our experiments, we have validated thepracticality and efficacy of ControlPE. It proves to be a promising solutionfor control a variety of prompts, ranging from generating short responsesprompts, refusal prompts to chain-of-thought prompts.",Yuhan Sun,2023/11/16,2023/11/16
2310.14735v2,Unleashing the potential of prompt engineering in Large Language Models: a comprehensive review,http://arxiv.org/abs/2310.14735v2,"This paper delves into the pivotal role of prompt engineering in unleashingthe capabilities of Large Language Models (LLMs). Prompt engineering is theprocess of structuring input text for LLMs and is a technique integral tooptimizing the efficacy of LLMs. This survey elucidates foundational principlesof prompt engineering, such as role-prompting, one-shot, and few-shotprompting, as well as more advanced methodologies such as the chain-of-thoughtand tree-of-thoughts prompting. The paper sheds light on how externalassistance in the form of plugins can assist in this task, and reduce machinehallucination by retrieving external knowledge. We subsequently delineateprospective directions in prompt engineering research, emphasizing the need fora deeper understanding of structures and the role of agents in ArtificialIntelligence-Generated Content (AIGC) tools. We discuss how to assess theefficacy of prompt methods from different perspectives and using differentmethods. Finally, we gather information about the application of promptengineering in such fields as education and programming, showing itstransformative potential. This comprehensive survey aims to serve as a friendlyguide for anyone venturing through the big world of LLMs and promptengineering.",Banghao Chen,2023/10/23,2023/10/27
2310.10508v1,Prompt Engineering or Fine Tuning: An Empirical Assessment of Large Language Models in Automated Software Engineering Tasks,http://arxiv.org/abs/2310.10508v1,"In this paper, we investigate the effectiveness of state-of-the-art LLM,i.e., GPT-4, with three different prompting engineering techniques (i.e., basicprompting, in-context learning, and task-specific prompting) against 18fine-tuned LLMs on three typical ASE tasks, i.e., code generation, codesummarization, and code translation. Our quantitative analysis of theseprompting strategies suggests that prompt engineering GPT-4 cannot necessarilyand significantly outperform fine-tuning smaller/older LLMs in all three tasks.For comment generation, GPT-4 with the best prompting strategy (i.e.,task-specific prompt) had outperformed the first-ranked fine-tuned model by8.33% points on average in BLEU. However, for code generation, the first-rankedfine-tuned model outperforms GPT-4 with best prompting by 16.61% and 28.3%points, on average in BLEU. For code translation, GPT-4 and fine-tunedbaselines tie as they outperform each other on different translation tasks. Toexplore the impact of different prompting strategies, we conducted a user studywith 27 graduate students and 10 industry practitioners. From our qualitativeanalysis, we find that the GPT-4 with conversational prompts (i.e., when ahuman provides feedback and instructions back and forth with a model to achievebest results) showed drastic improvement compared to GPT-4 with automaticprompting strategies. Moreover, we observe that participants tend to requestimprovements, add more context, or give specific instructions as conversationalprompts, which goes beyond typical and generic prompting strategies. Our studysuggests that, at its current state, GPT-4 with conversational prompting hasgreat potential for ASE tasks, but fully automated prompt engineering with nohuman in the loop requires more study and improvement.",Jiho Shin,2023/10/11,2023/10/11
1805.04825v1,Deep Learning in Software Engineering,http://arxiv.org/abs/1805.04825v1,"Recent years, deep learning is increasingly prevalent in the field ofSoftware Engineering (SE). However, many open issues still remain to beinvestigated. How do researchers integrate deep learning into SE problems?Which SE phases are facilitated by deep learning? Do practitioners benefit fromdeep learning? The answers help practitioners and researchers develop practicaldeep learning models for SE tasks. To answer these questions, we conduct abibliography analysis on 98 research papers in SE that use deep learningtechniques. We find that 41 SE tasks in all SE phases have been facilitated bydeep learning integrated solutions. In which, 84.7% papers only use standarddeep learning models and their variants to solve SE problems. Thepracticability becomes a concern in utilizing deep learning techniques. How toimprove the effectiveness, efficiency, understandability, and testability ofdeep learning based solutions may attract more SE researchers in the future.",Xiaochen Li,2018/5/13,2018/5/13
